ID,Rank,Name,Platform,Year,Genre,Publisher
4833,1,Wii Sports,Wii,2006.0,Sports,Nintendo
8443,2,Super Mario Bros.,NES,1985.0,Platform,Nintendo
17315,3,Mario Kart Wii,Wii,2008.0,Racing,Nintendo
15726,4,Wii Sports Resort,Wii,2009.0,Sports,Nintendo
17712,5,Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo
679,6,Tetris,GB,1989.0,Puzzle,Nintendo
732,7,New Super Mario Bros.,DS,2006.0,Platform,Nintendo
3967,8,Wii Play,Wii,2006.0,Misc,Nintendo
16221,9,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo
4935,10,Duck Hunt,NES,1984.0,Shooter,Nintendo
8862,11,Nintendogs,DS,2005.0,Simulation,Nintendo
1785,12,Mario Kart DS,DS,2005.0,Racing,Nintendo
2815,13,Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo
526,14,Wii Fit,Wii,2007.0,Sports,Nintendo
15075,15,Wii Fit Plus,Wii,2009.0,Sports,Nintendo
19616,16,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios
9307,17,Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive
9725,18,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive
11282,19,Super Mario World,SNES,1990.0,Platform,Nintendo
9629,20,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo
18660,21,Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo
13674,22,Super Mario Land,GB,1989.0,Platform,Nintendo
2050,23,Super Mario Bros. 3,NES,1988.0,Platform,Nintendo
13975,24,Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive
5539,25,Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive
17390,26,Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo
4568,27,Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo
2387,28,Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo
16706,29,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment
640,30,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision
19180,31,Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Nintendo
2245,32,Call of Duty: Black Ops,X360,2010.0,Shooter,Activision
19185,33,Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,Nintendo
1690,34,Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision
14108,35,Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision
3568,36,Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision
19596,37,Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision
10724,38,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision
9196,39,Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive
18082,40,Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo
6239,41,Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision
7200,42,Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo
8722,43,Mario Kart 7,3DS,2011.0,Racing,Nintendo
8683,44,Halo 3,X360,2007.0,Shooter,Microsoft Game Studios
1009,45,Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive
7183,46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,Nintendo
4652,47,Super Mario 64,N64,1996.0,Platform,Nintendo
1151,48,Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment
6419,49,Super Mario Galaxy,Wii,2007.0,Platform,Nintendo
9900,50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo
19077,51,Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,Nintendo
2665,52,Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive
16613,53,Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment
18985,54,Super Mario 3D Land,3DS,2011.0,Platform,Nintendo
17515,55,Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment
10419,56,Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision
2074,57,Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive
9379,58,Super Mario All-Stars,SNES,1993.0,Platform,Nintendo
18909,59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Nintendo
14031,60,Super Mario 64,DS,2004.0,Platform,Nintendo
3132,61,Just Dance 3,Wii,2011.0,Misc,Ubisoft
10004,62,Call of Duty: Ghosts,X360,2013.0,Shooter,Activision
18797,63,Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios
13773,64,Mario Kart 64,N64,1996.0,Racing,Nintendo
1028,65,New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo
6204,66,Halo 4,X360,2012.0,Shooter,Microsoft Game Studios
13550,67,Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment
11931,68,Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision
18253,69,Just Dance 2,Wii,2010.0,Misc,Ubisoft
11926,70,Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment
16031,71,Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision
7541,72,Donkey Kong Country,SNES,1994.0,Platform,Nintendo
9274,73,Minecraft,X360,2013.0,Misc,Microsoft Game Studios
16574,74,Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo
7996,75,Mario Party DS,DS,2007.0,Misc,Nintendo
10449,76,The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks
10148,77,Super Mario Kart,SNES,1992.0,Racing,Nintendo
10225,78,FIFA 16,PS4,2015.0,Sports,Electronic Arts
1674,79,Wii Party,Wii,2010.0,Misc,Nintendo
17635,80,Halo 2,XB,2004.0,Shooter,Microsoft Game Studios
15594,81,Mario Party 8,Wii,2007.0,Misc,Nintendo
13957,82,Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,Nintendo
11813,83,FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts
9374,84,The Sims 3,PC,2009.0,Simulation,Electronic Arts
8527,85,GoldenEye 007,N64,1997.0,Shooter,Nintendo
17077,86,Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Sega
19190,87,Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment
13454,88,Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft
16350,89,Pokémon Platinum Version,DS,2008.0,Role-Playing,Nintendo
18526,90,Pac-Man,2600,1982.0,Puzzle,Atari
10062,91,Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive
7692,92,Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo
9359,93,Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts
7654,94,Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision
3715,95,The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo
373,96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,Sony Computer Entertainment
8377,97,Super Mario Bros. 2,NES,1988.0,Platform,Nintendo
13680,98,Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,Nintendo
7181,99,Call of Duty: World at War,X360,2008.0,Shooter,Activision
5128,100,Battlefield 3,X360,2011.0,Shooter,Electronic Arts
17666,101,The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo
6349,102,Call of Duty: Black Ops 3,XOne,2015.0,Shooter,Activision
7954,103,Just Dance,Wii,2009.0,Misc,Ubisoft
2765,104,Battlefield 3,PS3,2011.0,Shooter,Electronic Arts
3992,105,Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts
16738,106,Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment
19986,107,Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment
14768,108,Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo
17305,109,Mario Kart 8,WiiU,2014.0,Racing,Nintendo
8043,110,Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks
8358,111,Mario Kart: Double Dash!!,GC,2003.0,Racing,Nintendo
8975,112,Just Dance 4,Wii,2012.0,Misc,Ubisoft
2846,113,FIFA 14,PS3,2013.0,Sports,Electronic Arts
266,114,Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts
717,115,Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts
16144,116,Uncharted 3: Drake's Deception,PS3,2011.0,Action,Sony Computer Entertainment
5827,117,Crash Bandicoot,PS,1996.0,Platform,Sony Computer Entertainment
5879,118,Zumba Fitness,Wii,2010.0,Sports,505 Games
11752,119,Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios
12080,120,Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment
17763,121,Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision
9345,122,FIFA 12,PS3,2011.0,Sports,Electronic Arts
16406,123,Big Brain Academy,DS,2005.0,Misc,Nintendo
3429,124,Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive
3787,125,FIFA 15,PS4,2014.0,Sports,Electronic Arts
14182,126,Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo
9209,127,The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks
5451,128,The Legend of Zelda,NES,1986.0,Action,Nintendo
9063,129,Assassin's Creed III,PS3,2012.0,Action,Ubisoft
16400,130,Halo: Combat Evolved,XB,2001.0,Shooter,Microsoft Game Studios
4274,131,Pokémon Emerald Version,GBA,2004.0,Role-Playing,Nintendo
10994,132,Kingdom Hearts,PS2,2002.0,Role-Playing,Sony Computer Entertainment
18068,133,Pokémon Crystal Version,GB,2000.0,Role-Playing,Nintendo
874,134,Halo 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios
9458,135,Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive
13075,136,Super Mario Sunshine,GC,2002.0,Platform,Nintendo
9582,137,Street Fighter II: The World Warrior,SNES,1992.0,Fighting,Capcom
11844,138,World of Warcraft,PC,2004.0,Role-Playing,Activision
11488,139,Driver,PS,1999.0,Action,GT Interactive
18235,140,Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios
2819,141,Gears of War 3,X360,2011.0,Shooter,Microsoft Game Studios
2422,142,Gears of War,X360,2006.0,Shooter,Microsoft Game Studios
1098,143,Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment
1685,144,Sonic the Hedgehog 2,GEN,1992.0,Platform,Sega
1735,145,Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Konami Digital Entertainment
9836,146,Metal Gear Solid,PS,1998.0,Action,Konami Digital Entertainment
2736,147,The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe
19248,148,Final Fantasy XII,PS2,2006.0,Role-Playing,Square Enix
3997,149,LittleBigPlanet,PS3,2008.0,Platform,Sony Computer Entertainment
9228,150,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,Nintendo
1082,151,LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,LucasArts
4862,152,Resident Evil 2,PS,1998.0,Action,Virgin Interactive
12256,153,Tekken 2,PS,1996.0,Fighting,Sony Computer Entertainment
9020,154,Cooking Mama,DS,2006.0,Simulation,505 Games
12145,155,Destiny,PS4,2014.0,Shooter,Activision
4014,156,Tetris,NES,1988.0,Puzzle,Nintendo
3998,157,Assassin's Creed II,PS3,2009.0,Action,Ubisoft
9327,158,Super Smash Bros.,N64,1999.0,Fighting,Nintendo
817,159,Assassin's Creed,X360,2007.0,Adventure,Ubisoft
7015,160,Batman: Arkham City,PS3,2011.0,Action,Warner Bros. Interactive Entertainment
8650,161,Forza Motorsport 3,X360,2009.0,Racing,Microsoft Game Studios
2142,162,Monster Hunter Freedom Unite,PSP,2008.0,Role-Playing,Capcom
664,163,Super Mario Advance,GBA,2001.0,Platform,Nintendo
12318,164,Mario Kart: Super Circuit,GBA,2001.0,Racing,Nintendo
494,165,Super Mario World,GBA,2001.0,Platform,Nintendo
943,166,Pokemon Stadium,N64,1999.0,Strategy,Nintendo
16238,167,Call of Duty: World at War,PS3,2008.0,Shooter,Activision
545,168,Crash Bandicoot: The Wrath of Cortex,PS2,2001.0,Platform,Universal Interactive
10537,169,Minecraft,PS3,2014.0,Misc,Sony Computer Entertainment
5232,170,Final Fantasy XIII,PS3,2009.0,Role-Playing,Square Enix
316,171,Dr. Mario,GB,1989.0,Puzzle,Nintendo
2982,172,Pokemon Pinball,GB,1999.0,Misc,Nintendo
901,173,Assassin's Creed III,X360,2012.0,Action,Ubisoft
14663,174,Final Fantasy IX,PS,2000.0,Role-Playing,SquareSoft
15640,175,Final Fantasy X-2,PS2,2003.0,Role-Playing,Electronic Arts
2635,176,Donkey Kong 64,N64,1999.0,Platform,Nintendo
13898,177,Assassin's Creed II,X360,2009.0,Action,Ubisoft
13456,178,Professor Layton and the Curious Village,DS,2007.0,Puzzle,Nintendo
3984,179,Tomb Raider II,PS,1997.0,Action,Eidos Interactive
10056,180,Madden NFL 2004,PS2,,Sports,Electronic Arts
12585,181,Dragon Quest VIII: Journey of the Cursed King,PS2,2004.0,Role-Playing,Square Enix
2854,182,Diablo III,PC,2012.0,Role-Playing,Activision
19551,183,Super Mario Bros. 3,GBA,2003.0,Platform,Nintendo
17674,184,New Super Mario Bros. U,WiiU,2012.0,Platform,Nintendo
13101,185,Super Mario Land 3: Wario Land,GB,1994.0,Platform,Nintendo
11806,186,FIFA Soccer 13,X360,2012.0,Action,Electronic Arts
12229,187,The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,Nintendo
2134,188,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995.0,Platform,Nintendo
5072,189,Tomodachi Life,3DS,2013.0,Simulation,Nintendo
10170,190,Mario & Sonic at the Olympic Games,DS,2008.0,Sports,Sega
3305,191,Medal of Honor: Rising Sun,PS2,2003.0,Shooter,Electronic Arts
4566,192,Kirby's Dream Land,GB,1992.0,Platform,Nintendo
3265,193,Fable III,X360,2010.0,Role-Playing,Microsoft Game Studios
4942,194,Call of Duty: Advanced Warfare,XOne,2014.0,Shooter,Activision
2579,195,Microsoft Flight Simulator,PC,1996.0,Simulation,Microsoft Game Studios
6614,196,Guitar Hero II,PS2,2006.0,Misc,RedOctane
13857,197,Resident Evil 5,PS3,2009.0,Action,Capcom
9019,198,Grand Theft Auto V,XOne,2014.0,Action,Take-Two Interactive
11054,199,Grand Theft Auto: Vice City Stories,PSP,2006.0,Action,Take-Two Interactive
17705,200,FIFA Soccer 11,PS3,2010.0,Sports,Electronic Arts
4874,201,Super Mario Bros.,GB,1999.0,Platform,Nintendo
14936,202,Resident Evil,PS,1996.0,Action,Virgin Interactive
15384,203,Tony Hawk's Pro Skater,PS,1999.0,Sports,Activision
12704,204,Super Smash Bros. for Wii U and 3DS,WiiU,2014.0,Fighting,Nintendo
6158,205,Warzone 2100,PS,1999.0,Strategy,Eidos Interactive
16812,206,Spyro the Dragon,PS,1998.0,Platform,Sony Computer Entertainment
11103,207,Link's Crossbow Training,Wii,2007.0,Shooter,Nintendo
19225,208,Guitar Hero III: Legends of Rock,PS2,2007.0,Misc,Activision
18539,209,Fallout 3,X360,2008.0,Role-Playing,Bethesda Softworks
5482,210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007.0,Role-Playing,Nintendo
11919,211,Uncharted: Drake's Fortune,PS3,2007.0,Action,Sony Computer Entertainment
10194,212,Madden NFL 06,PS2,2005.0,Sports,Electronic Arts
374,213,LEGO Star Wars: The Complete Saga,DS,2007.0,Action,LucasArts
12074,214,Diddy Kong Racing,N64,1997.0,Racing,Nintendo
17517,215,Monster Hunter Freedom 3,PSP,2010.0,Role-Playing,Capcom
7576,216,Dr. Mario,NES,1990.0,Puzzle,Nintendo
3690,217,God of War III,PS3,2010.0,Action,Sony Computer Entertainment
3352,218,StarCraft II: Wings of Liberty,PC,2010.0,Strategy,Activision
7639,219,Assassin's Creed,PS3,2007.0,Adventure,Ubisoft
16382,220,FIFA 15,PS3,2014.0,Sports,Electronic Arts
16247,221,Crash Team Racing,PS,1999.0,Racing,Sony Computer Entertainment
19767,222,FIFA 17,PS4,2016.0,Sports,Electronic Arts
16458,223,Batman: Arkham City,X360,2011.0,Action,Warner Bros. Interactive Entertainment
1521,224,Driver 2,PS,2000.0,Action,Atari
14578,225,The Simpsons: Hit & Run,PS2,2003.0,Racing,Vivendi Games
14055,226,Tony Hawk's Pro Skater 2,PS,2000.0,Sports,Activision
18544,227,Animal Crossing: City Folk,Wii,2008.0,Simulation,Nintendo
19369,228,The Lord of the Rings: The Two Towers,PS2,2002.0,Action,Electronic Arts
17830,229,Forza Motorsport 4,X360,2011.0,Racing,Microsoft Game Studios
18605,230,Tomb Raider,PS,1996.0,Action,Eidos Interactive
2076,231,Guitar Hero III: Legends of Rock,Wii,2007.0,Misc,Activision
4699,232,The Legend of Zelda: A Link to the Past,SNES,1991.0,Action,Nintendo
7381,233,The Legend of Zelda: The Wind Waker,GC,2002.0,Action,Nintendo
6269,234,Mario & Sonic at the Olympic Winter Games,Wii,2009.0,Sports,Sega
3905,235,Luigi's Mansion: Dark Moon,3DS,2013.0,Action,Nintendo
14149,236,Splatoon,WiiU,2015.0,Shooter,Nintendo
13512,237,The Last of Us,PS4,2014.0,Action,Sony Computer Entertainment
12421,238,Guitar Hero III: Legends of Rock,X360,2007.0,Misc,Activision
13183,239,Madden NFL 2005,PS2,2004.0,Sports,Electronic Arts
19531,240,Pitfall!,2600,1981.0,Platform,Activision
16537,241,Madden NFL 07,PS2,2006.0,Sports,Electronic Arts
5978,242,Spider-Man: The Movie,PS2,2002.0,Action,Activision
3100,243,Dragon Quest VII: Warriors of Eden,PS,2000.0,Role-Playing,Enix Corporation
4872,244,Uncharted: The Nathan Drake Collection,PS4,2015.0,Action,Sony Computer Entertainment
9648,245,Call of Duty: Advanced Warfare,PS3,2014.0,Shooter,Activision
15484,246,God of War,PS2,2005.0,Action,Sony Computer Entertainment
11247,247,Nintendo Land,WiiU,2012.0,Misc,Nintendo
10789,248,Michael Jackson: The Experience,Wii,2010.0,Misc,Ubisoft
17673,249,Tony Hawk's Pro Skater 3,PS2,2001.0,Sports,Activision
5594,250,Winning Eleven: Pro Evolution Soccer 2007,PS2,2006.0,Sports,Konami Digital Entertainment
1545,251,The Elder Scrolls IV: Oblivion,X360,2006.0,Role-Playing,Take-Two Interactive
15089,252,Zelda II: The Adventure of Link,NES,1987.0,Adventure,Nintendo
16488,253,Need for Speed: Most Wanted,PS2,2005.0,Racing,Electronic Arts
1937,254,Resistance: Fall of Man,PS3,2006.0,Shooter,Sony Computer Entertainment
17187,255,Sonic the Hedgehog,GEN,1991.0,Platform,Sega
2985,256,Kingdom Hearts II,PS2,2005.0,Role-Playing,Square Enix
385,257,FIFA 14,X360,2013.0,Sports,Electronic Arts
13086,258,Call of Duty: Advanced Warfare,X360,2014.0,Shooter,Activision
16986,259,Asteroids,2600,1980.0,Shooter,Atari
10305,260,Fable II,X360,2008.0,Role-Playing,Microsoft Game Studios
8346,261,Halo 5: Guardians,XOne,2015.0,Shooter,Microsoft Game Studios
18017,262,Super Mario 3D World,WiiU,2013.0,Platform,Nintendo
10434,263,Batman: Arkham Asylum,PS3,2009.0,Action,Eidos Interactive
12597,264,Assassin's Creed: Revelations,PS3,2011.0,Action,Ubisoft
4630,265,Namco Museum,GBA,2001.0,Misc,Namco Bandai Games
4132,266,Metal Gear Solid 3: Snake Eater,PS2,2004.0,Action,Konami Digital Entertainment
15746,267,Daxter,PSP,2006.0,Platform,Sony Computer Entertainment
5158,268,Warcraft II: Tides of Darkness,PC,1995.0,Strategy,Activision
66,269,The Legend of Zelda: Ocarina of Time,3DS,2011.0,Action,Nintendo
12144,270,FIFA Soccer 06,PS2,2005.0,Sports,Electronic Arts
8969,271,EyeToy Play,PS2,2003.0,Misc,Sony Computer Entertainment
12437,272,Uncharted 4: A Thief's End,PS4,2016.0,Shooter,Sony Computer Entertainment
18617,273,Gran Turismo 5 Prologue,PS3,2007.0,Racing,Sony Computer Entertainment
393,274,Assassin's Creed: Revelations,X360,2011.0,Action,Ubisoft
18743,275,Street Fighter IV,PS3,2009.0,Fighting,Capcom
6110,276,FIFA 12,X360,2011.0,Sports,Electronic Arts
10919,277,Teenage Mutant Ninja Turtles,NES,1989.0,Action,Palcom
6442,278,Excitebike,NES,1984.0,Racing,Nintendo
8369,279,Frogger,PS,1997.0,Action,Hasbro Interactive
10137,280,Madden NFL 2003,PS2,2002.0,Sports,Electronic Arts
1705,281,Watch Dogs,PS4,2014.0,Action,Ubisoft
7990,282,Half-Life,PC,1997.0,Shooter,Vivendi Games
17973,283,Super Mario World 2: Yoshi's Island,SNES,1995.0,Platform,Nintendo
8222,284,FIFA Soccer 07,PS2,2006.0,Sports,Electronic Arts
15842,285,The Legend of Zelda: Skyward Sword,Wii,2011.0,Action,Nintendo
9583,286,Street Fighter II Turbo,SNES,1992.0,Fighting,Capcom
11145,287,Carnival Games,Wii,2007.0,Misc,Take-Two Interactive
12221,288,Fallout 4,XOne,2015.0,Role-Playing,Bethesda Softworks
19513,289,World of Warcraft: The Burning Crusade,PC,2007.0,Role-Playing,Activision
10201,290,Fallout: New Vegas,X360,2010.0,Role-Playing,Bethesda Softworks
13066,291,God of War II,PS2,2007.0,Action,Sony Computer Entertainment
4636,292,Forza Motorsport 2,X360,2007.0,Racing,Microsoft Game Studios
3849,293,World Soccer Winning Eleven 9,PS2,2005.0,Sports,Konami Digital Entertainment
17393,294,Namco Museum Vol.3,PS,1996.0,Misc,Sony Computer Entertainment
18422,295,Tekken Tag Tournament,PS2,2000.0,Fighting,Namco Bandai Games
707,296,Far Cry 4,PS4,2014.0,Shooter,Ubisoft
5219,297,Star Fox 64,N64,1997.0,Shooter,Nintendo
18083,298,Minecraft,PS4,2014.0,Misc,Sony Computer Entertainment Europe
4264,299,Golf,NES,1984.0,Sports,Nintendo
10043,300,Fallout 3,PS3,2008.0,Role-Playing,Bethesda Softworks
9030,301,Professor Layton and the Diabolical Box,DS,2007.0,Puzzle,Nintendo
11074,302,Left 4 Dead 2,X360,2009.0,Shooter,Electronic Arts
18004,303,Namco Museum: 50th Anniversary,PS2,2005.0,Misc,Namco Bandai Games
331,304,EA Sports Active,Wii,2009.0,Sports,Electronic Arts
5938,305,Assassin's Creed: Unity,PS4,2014.0,Action,Ubisoft
8698,306,Donkey Kong Land,GB,1994.0,Platform,Nintendo
18267,307,Tony Hawk's Underground,PS2,2003.0,Sports,Activision
10126,308,Assassin's Creed IV: Black Flag,PS3,2013.0,Action,Ubisoft
12012,309,Monster Hunter 4 Ultimate,3DS,2014.0,Role-Playing,Nintendo
17196,310,MotorStorm,PS3,2006.0,Racing,Sony Computer Entertainment
13108,311,The Elder Scrolls V: Skyrim,PC,2011.0,Role-Playing,Bethesda Softworks
16558,312,Tekken 5,PS2,2005.0,Fighting,Namco Bandai Games
5999,313,Dragon Warrior III,NES,1988.0,Role-Playing,Enix Corporation
18619,314,Sports Champions,PS3,2010.0,Sports,Sony Computer Entertainment
16935,315,NBA 2K16,PS4,2015.0,Sports,Take-Two Interactive
13126,316,World Soccer Winning Eleven 8 International,PS2,2004.0,Sports,Konami Digital Entertainment
12026,317,Flash Focus: Vision Training in Minutes a Day,DS,2007.0,Misc,Nintendo
8705,318,Namco Museum Vol.1,PS,1995.0,Misc,Sony Computer Entertainment
13988,319,The Legend of Zelda: Link's Awakening,GB,1992.0,Action,Nintendo
11356,320,Mario & Luigi: Bowser's Inside Story,DS,2009.0,Role-Playing,Nintendo
13974,321,Big Brain Academy: Wii Degree,Wii,2007.0,Misc,Nintendo
1681,322,Nintendogs + cats,3DS,2011.0,Simulation,Nintendo
984,323,Batman: Arkham Knight,PS4,2015.0,Action,Warner Bros. Interactive Entertainment
2832,324,Mario & Sonic at the London 2012 Olympic Games,Wii,2011.0,Sports,Sega
15860,325,LEGO Indiana Jones: The Original Adventures,X360,2008.0,Action,Activision
19491,326,Resident Evil Director's Cut,PS,1996.0,Action,Virgin Interactive
15708,327,Ratchet & Clank: Size Matters,PSP,2007.0,Platform,Sony Computer Entertainment
1283,328,Just Dance 2014,Wii,2013.0,Misc,Ubisoft
7823,329,The Sims: Unleashed,PC,2002.0,Simulation,Electronic Arts
14523,330,Super Paper Mario,Wii,2007.0,Platform,Nintendo
13913,331,Harry Potter and the Sorcerer's Stone,PS,2001.0,Action,Electronic Arts
16171,332,The Witcher 3: Wild Hunt,PS4,2015.0,Role-Playing,Namco Bandai Games
3133,333,Resident Evil 3: Nemesis,PS,1999.0,Action,Eidos Interactive
12423,334,Spyro: Year of the Dragon,PS,2000.0,Platform,Sony Computer Entertainment
4233,335,FIFA Soccer 2005,PS2,2004.0,Sports,Electronic Arts
19296,336,Pokémon Trading Card Game,GB,1998.0,Strategy,Nintendo
11796,337,Battlefield 4,PS3,2013.0,Shooter,Electronic Arts
1478,338,MySims,DS,2007.0,Simulation,Electronic Arts
4486,339,Friend Collection,DS,2009.0,Misc,Nintendo
19807,340,Tony Hawk's Pro Skater 4,PS2,2002.0,Sports,Activision
10551,341,Midnight Club 3: DUB Edition,PSP,2005.0,Racing,Take-Two Interactive
5385,342,Banjo-Kazooie,N64,1998.0,Platform,Nintendo
12549,343,SOCOM: U.S. Navy SEALs,PS2,2002.0,Shooter,Sony Computer Entertainment
13484,344,Guitar Hero: World Tour,Wii,2008.0,Misc,Activision
15752,345,Gran Turismo 6,PS3,2013.0,Racing,Sony Computer Entertainment
1396,346,Jak and Daxter: The Precursor Legacy,PS2,2001.0,Platform,Sony Computer Entertainment
5574,347,Pokemon Snap,N64,1999.0,Simulation,Nintendo
18140,348,FIFA Soccer 10,PS3,2009.0,Sports,Electronic Arts
7711,349,Pro Evolution Soccer 2008,PS2,2007.0,Sports,Konami Digital Entertainment
9714,350,Call of Duty: Ghosts,PS4,2013.0,Shooter,Activision
14814,351,Resident Evil 4,PS2,2005.0,Action,Capcom
5900,352,Tom Clancy's The Division,PS4,2016.0,Shooter,Ubisoft
15787,353,Star Wars: Battlefront,PS2,2004.0,Shooter,LucasArts
6486,354,Doom II: Hell on Earth,PC,1994.0,Shooter,Virgin Interactive
15486,355,The Simpsons: Road Rage,PS2,2001.0,Racing,Electronic Arts
3160,356,Cooking Mama 2: Dinner With Friends,DS,2007.0,Simulation,505 Games
10000,357,Luigi's Mansion,GC,2001.0,Action,Nintendo
14923,358,Star Wars: Battlefront II,PS2,2005.0,Shooter,LucasArts
2558,359,WWF SmackDown!,PS,2000.0,Fighting,THQ
19450,360,Croc: Legend of the Gobbos,PS,1997.0,Platform,Fox Interactive
5050,361,Grand Theft Auto: Liberty City Stories,PS2,2006.0,Action,Take-Two Interactive
10784,362,The Getaway,PS2,2002.0,Action,Sony Computer Entertainment
5554,363,Tomb Raider III: Adventures of Lara Croft,PS,1997.0,Action,Eidos Interactive
10778,364,James Bond 007: Agent Under Fire,PS2,2001.0,Shooter,Electronic Arts
6576,365,LEGO Star Wars: The Video Game,PS2,2005.0,Action,Eidos Interactive
19252,366,Battlefield 4,X360,2013.0,Shooter,Electronic Arts
16659,367,FIFA Soccer 11,X360,2010.0,Sports,Electronic Arts
19881,368,Rugrats in Paris: The Movie,PS,2000.0,Action,THQ
