ID,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
18690,0.09,0.18,0.01,0.1,0.37
16381,0.11,0.15,0,0.06,0.32
7473,0,0,0.02,0,0.02
12972,0.41,0.11,0,0.04,0.55
4354,0.01,0,0,0,0.01
14541,0.1,0.07,0,0.02,0.18
10424,0.08,0,0,0.01,0.09
2717,0,0,0.13,0,0.13
11851,0.02,0.01,0,0,0.03
18470,0.13,0.03,0,0,0.17
17354,1.69,0.04,0,0.01,1.74
15397,0,0.14,0,0.02,0.16
18791,0.02,0.02,0,0.01,0.04
7832,0.05,0,0,0,0.05
8181,0,0.05,0,0.01,0.06
1042,0,0,0.05,0,0.05
12657,0,0,0.03,0,0.03
6099,0.17,0.04,0,0.04,0.25
10548,0,0,0.04,0,0.04
8542,0.05,0,0,0,0.06
15114,0,0,0.02,0,0.02
9444,0.3,0.33,0,0.06,0.68
8864,0.25,0.7,0.03,0.25,1.23
18919,0.05,0.03,0,0.01,0.09
13043,0.01,0,0,0,0.02
4676,0.14,0.04,0.02,0.01,0.2
13578,1.13,0.36,0.92,0.07,2.47
11453,0.02,0,0,0,0.02
6506,0.02,0,0,0,0.02
5518,0.09,0.07,0,0.02,0.18
9336,0.02,0.01,0,0,0.03
6492,0.14,0.09,0.19,0.03,0.45
6235,0.85,0.43,0,0.06,1.34
12276,0,0,0.29,0,0.29
1410,0,0,0.19,0,0.19
10608,0.07,0.09,0,0.04,0.19
604,0.14,0,0,0.01,0.16
15953,0.72,0.38,0,0.12,1.23
15102,0,0,0.08,0,0.08
3856,0.44,0.16,0,0.01,0.61
8712,0.03,0.01,0.01,0,0.05
1967,0.61,0.18,0,0.94,1.72
14267,0,0,0.02,0,0.02
563,0,0,0.07,0,0.07
15778,2.18,0.01,0,0.18,2.37
12474,0.05,0.01,0.04,0.01,0.11
13183,4.18,0.26,0.01,0.08,4.53
14012,0.17,0,0,0.01,0.18
17170,0,0.09,0,0.01,0.1
17056,0.1,0.04,0,0,0.14
1852,0.12,0.04,0,0,0.17
2586,0.28,0.23,0,0.04,0.56
4675,0,0.07,0,0.02,0.09
15301,0.03,0.03,0,0.01,0.07
3122,0.01,0.71,0.01,0.21,0.94
19191,0.01,0.01,0,0,0.02
15776,0.02,0,0,0,0.02
4097,0.04,0.01,0,0,0.06
15868,0,0,0.02,0,0.02
3407,0.69,0,0.04,1.68,2.41
6148,1.46,0.54,0.01,0.37,2.38
9034,0,0,0.3,0.02,0.32
14501,1.37,0.41,0.04,0.04,1.86
6157,0.03,0.01,0,0,0.04
15738,0.06,0.02,0,0,0.08
15716,0.13,0.12,0,0.02,0.28
4786,0,0,0.44,0.03,0.47
15342,0.18,0,0,0.01,0.19
2190,0.1,0.03,0,0.01,0.14
16247,2.57,1.57,0.44,0.21,4.79
14518,0.02,0.03,0,0.01,0.06
3299,0.05,0.03,0,0.01,0.08
2951,0.1,0.01,0,0.01,0.13
2390,0.43,0.05,0,0.14,0.63
7739,0,0,0.02,0,0.02
3185,0.19,0.02,0,0.02,0.23
455,0.45,0.02,0,0.04,0.51
17131,0.05,0.04,0,0.01,0.1
19038,0.19,0.39,0,0.22,0.8
1738,0,0,,0,
18075,0.29,0.2,2.13,0.18,2.79
2118,0.09,0.03,0,0.01,0.14
15908,0,0,0.53,0,0.53
16526,0,0,0.01,0,0.01
11844,0.07,6.21,0,0,6.28
19553,0.87,0.17,1.1,0.05,2.19
6316,0.42,0.02,0.02,0.03,0.49
3475,0.3,0.01,0,0.03,0.35
13168,0.09,0.07,0,0.02,0.19
9022,0,0,0.04,0,0.04
12752,0.05,0.01,0,0.01,0.07
16705,0.74,0.95,0,0.28,1.97
15635,0.13,0.04,0,0.01,0.17
9827,0.05,0,0,0.02,0.07
13260,0.41,0.6,0,0.19,1.2
19767,0.28,3.75,0.06,0.69,4.77
2271,0,0,0.15,0,0.15
11178,1.49,0.81,0,0.1,2.39
12804,0.11,0,0,0.01,0.13
12619,0.28,0.01,0,0.02,0.31
10778,1.9,1.13,0.1,0.41,3.53
3033,0.38,0.37,0,0.09,0.83
1937,1.73,1.73,0.14,0.75,4.35
14779,0.1,0,0,0.01,0.11
6606,0.02,0.01,0,0,0.04
15474,0.61,0.41,0.46,0.1,1.59
11563,0.8,0.05,0.76,0.03,1.64
10984,0,0.47,0.77,0.17,1.41
2588,0.14,0.09,0,0.02,0.24
14631,0.02,0.01,0,0,0.04
9785,0.05,0.11,0,0.03,0.19
12639,0.13,0.01,0,0.01,0.15
15255,0,0,0.02,0,0.02
4215,1.38,0.74,0.02,0.22,2.36
5199,0.09,0,0,0.01,0.09
8786,0,0,0.81,0,0.81
4713,0,0,0.03,0,0.03
10407,0.63,0.37,0,0.11,1.11
15629,1.65,0.46,0.1,0.1,2.31
4475,1.13,0.37,0.41,0.05,1.96
3691,0.86,0.03,0,0.14,1.03
9292,0,0,0.04,0,0.04
6954,0.04,0.03,0,0.01,0.08
1759,0,0,0.02,0,0.02
14977,0.12,0,0,0.01,0.13
9059,0.11,0.01,0,0.01,0.12
10291,1.81,0.05,0.01,0.15,2.02
5285,0.05,0.04,0,0.02,0.1
15627,0,0.01,0,0,0.02
2872,0,0,0.73,0,0.73
2590,0.26,0.01,0,0.02,0.29
3461,0.01,0,0,0,0.01
14551,0.56,0,0,0.03,0.59
9119,0,0,0.01,0,0.01
11115,0.16,0.35,0.01,0.12,0.64
561,0.09,0.06,0.83,0.07,1.04
14356,0.16,0.06,0,0.02,0.25
5400,0.66,0,1.45,0.03,2.14
2771,0.11,0.03,0,0.01,0.15
7909,0,0.01,0,0,0.01
3387,0.08,0.01,0,0.01,0.09
12744,0.61,0.59,0.55,0.11,1.85
5911,0.13,0.1,0,0.03,0.26
9732,0.33,0.01,0,0.05,0.4
14061,0.44,0.02,0,0,0.47
12369,0.01,0,0,0,0.02
8822,0.01,0,0,0,0.01
8469,0.32,0.05,0,0.03,0.4
19325,0,0,0.06,0.03,0.09
13165,0.14,0.11,0,0.04,0.29
3516,1.29,1.27,0.06,0.5,3.12
15249,0.31,0.13,0.02,0.04,0.49
8290,0.35,0.27,0,0.09,0.71
7077,0.6,0.03,0,0.01,0.64
2392,0.55,0.59,0,0.14,1.28
10456,0,0,0.04,0,0.04
11234,0,0,0.39,0,0.39
9470,0.02,0.01,0.12,0.01,0.15
2056,0.09,0.01,0,0.01,0.11
2939,0.05,0.02,0.08,0.01,0.16
16255,0,0,0.08,0,0.08
18258,0.09,0.13,0,0.02,0.24
2136,0.14,0.1,0,0.03,0.27
18070,0.16,0.12,0,0.04,0.33
9795,0.14,0.02,0,0.02,0.18
12867,0.11,0.02,0,0.01,0.14
1058,0,0,0.13,0,0.13
771,0.06,0,0,0,0.06
7711,0.05,0,0.64,2.93,3.63
13507,0.12,0,0,0.01,0.13
16359,0,0,0.11,0,0.11
9411,0,0,0.02,0,0.02
15919,0.06,0.05,0,0.02,0.12
7995,0,0.02,0,0,0.02
5298,0.29,0,0,0.02,0.31
717,2.93,2.75,0.17,0.99,6.83
2130,0.09,0.02,0,0,0.12
17805,0.39,0.03,0,0.03,0.45
7514,0.38,0.1,0.12,0.02,0.62
11409,0.02,0,0,0,0.02
19166,0,0.01,0,0,0.01
13218,0,0,0.03,0,0.03
4733,0.01,0.01,0,0,0.02
520,0,0,0.05,0,0.05
18367,0,0,0.01,0,0.01
12909,0,0,0.11,0,0.11
239,0.1,0.08,0,0.03,
13460,0.28,0.19,0,0.09,0.57
4320,0,0.02,0,0,0.02
2985,2.2,0.58,1.38,0.17,4.33
18796,0.09,0,0,0.01,0.1
11590,0,0,0.04,0,0.04
3100,0.2,0.14,4.1,0.02,4.47
8145,0.46,0.02,0,0.05,0.52
14746,0,0,0.13,0,0.13
9867,0,0,0.05,0,0.05
5897,0.36,0.03,0,0,0.39
13300,0.04,0.01,0,0,0.05
8928,0.09,0.02,0,0,0.11
19473,0.32,0.08,0,0.01,0.42
12581,0.09,0.02,0,0.01,0.11
19287,0.01,0,0,0,0.02
17276,0.1,0.08,0.12,0.03,0.33
9236,0.48,0.25,0,0.07,0.8
6530,0.01,0.02,0,0.01,0.04
12567,0,0,0.05,0,0.05
640,9.03,4.28,0.13,1.32,14.76
5100,0.14,0.11,0,0.04,0.28
988,0,0.02,0,0,0.02
9822,0.2,0.04,0,0.01,0.25
13914,0.14,0.02,0,0.01,0.18
12944,0,0,0.04,0,0.04
10951,0,0,0.02,0,0.02
10102,0,0,0.03,0,0.03
12066,0.01,0,0.04,0,0.05
1034,0.41,0.47,0,0.18,1.05
2901,0.05,0.04,0.84,0.16,1.09
4891,0.06,0.1,0.01,0.04,0.21
15674,0,0,0.02,0,0.02
10421,0.2,0.08,0,0.01,
10906,0,0,0.08,0,0.08
5410,0.86,0.45,0,0.06,1.36
19827,0.29,0.19,0.07,0.04,0.58
17740,0.05,0.02,0,0,0.07
7908,0.38,0.02,0,0,0.4
7355,0.19,0.13,0,0.02,0.34
358,1.3,0.44,0,0.17,1.91
2692,0.1,0.08,0,0.03,0.2
18857,0.02,0,0,0,0.02
3623,0.19,0.15,0,0.05,0.38
1388,0.39,0,0,0.03,0.42
5004,0.18,0.07,0,0,0.25
19829,0.07,0.01,0.02,0.01,0.1
17850,0,0,0.2,0.01,0.21
11181,0.06,0.05,0,0.02,0.12
16797,0.12,0,0,0.01,0.13
12822,0.39,0.2,0,0.06,0.65
13861,0.03,0,0,0.01,0.03
17104,0.06,0,0,0,0.06
16192,0,0.12,0.09,0.02,0.23
8470,0.27,0.1,0,0.05,0.43
16367,0.03,0.01,0,0,0.04
19494,0.04,0.03,0,0,0.07
16215,0.7,0.93,0.14,0.32,2.09
14172,0.05,0.04,0,0.01,0.09
13946,0.03,0.02,0.07,0.01,0.13
13519,0.07,0.04,0,0.02,0.13
4460,0.97,0.23,0,0.11,1.31
16735,0.12,0.04,0,0.01,0.17
14781,0,0,0.01,0,0.01
15187,0.15,0.08,0,0.02,0.26
238,0.13,0.05,0,0,0.17
12064,0.23,0,0,0.02,0.24
3292,0,0.01,0,0,0.02
14842,0.25,0.17,0,0.03,0.45
5087,0,0.05,0,0.01,0.06
14324,0.09,0,0,0.01,0.09
10244,0.04,0.03,0,0,0.07
4617,0,0,0.02,0,0.02
19878,0,0,0.01,0,0.01
3395,0,0,0.29,0.06,0.35
9671,0,0.13,0,0.01,0.15
8344,0.07,0.05,0,0.01,0.13
9440,0.04,0.21,0.05,0.11,0.41
1661,0.03,0.02,0,0,0.06
17659,0,0,0.03,0,0.03
10200,0,0,0.36,0,0.36
2280,0.43,0.09,0,0.06,0.58
3168,0.13,0.09,0,0.01,0.23
6084,0.05,0.19,0.03,0.04,0.31
10905,0.03,0,0.01,0,0.05
6262,0.27,0.1,0,0.03,0.4
1513,0,0,0.11,0,0.11
