year,month,day,date,unixtime_jst,opening_price,high_price,low_price,end_price
2019,06,03,2019-06-03,1559520000,20327.87,20438.03,20305.74,20410.88
2019,06,04,2019-06-04,1559606400,20435.86,20464.57,20289.64,20408.54
2019,06,05,2019-06-05,1559692800,20667.89,20800.64,20646.15,20776.1
2019,06,06,2019-06-06,1559779200,20745.84,20842.28,20745.84,20774.04
2019,06,07,2019-06-07,1559865600,20859.78,20907.77,20816.58,20884.71
2019,06,10,2019-06-10,1560124800,21095.4,21166.12,21077.95,21134.42
2019,06,11,2019-06-11,1560211200,21099.54,21227.18,21066.62,21204.28
2019,06,12,2019-06-12,1560297600,21130.39,21259.7,21118.75,21129.72
2019,06,13,2019-06-13,1560384000,21040.91,21111.23,20932.13,21032.0
2019,06,14,2019-06-14,1560470400,21049.41,21119.73,20971.18,21116.89
2019,06,17,2019-06-17,1560729600,21094.96,21185.25,21044.62,21124.0
2019,06,18,2019-06-18,1560816000,21111.77,21153.65,20924.19,20972.71
2019,06,19,2019-06-19,1560902400,21223.17,21358.72,21213.43,21333.87
2019,06,20,2019-06-20,1560988800,21417.74,21491.39,21377.27,21462.86
2019,06,21,2019-06-21,1561075200,21487.67,21497.82,21221.7,21258.64
2019,06,24,2019-06-24,1561334400,21223.56,21317.86,21185.67,21285.99
2019,06,25,2019-06-25,1561420800,21238.07,21313.77,21114.47,21193.81
2019,06,26,2019-06-26,1561507200,21067.68,21129.64,21035.84,21086.59
2019,06,27,2019-06-27,1561593600,21156.88,21338.17,21123.97,21338.17
2019,06,28,2019-06-28,1561680000,21282.22,21324.93,21199.85,21275.92
