時刻,場所,気温,降水量,風向,風速,日照時間,湿度,気圧
1,旭川,16.7,0,北北西,1.8,,99,1004.6
2,旭川,16.7,0,西,2.1,,99,1004.7
3,旭川,17,0,西北西,2,,99,1004.5
4,旭川,17.4,0,南東,1.1,0,97,1005.1
5,旭川,17.6,0,南東,2,0,96,1004.8
6,旭川,17.9,0,西,0.3,0,96,1005.1
7,旭川,18.7,0,西,1.4,0,91,1005.6
8,旭川,19.6,0,北西,1.1,0,89,1005.7
9,旭川,21.7,0,南南東,1.1,0,80,1005
10,旭川,22.9,0,北北西,1.1,0,76,1005.2
11,旭川,24.6,0,南南東,1.4,0.2,73,1004.9
12,旭川,24.5,0,南南東,4.9,0,70,1004.7
13,旭川,23.4,0,南東,4.4,0,79,1004.6
14,旭川,23.6,0.5,南,4,0,81,1004.7
15,旭川,22.9,0,南,5.3,0,84,1005
16,旭川,23.9,0,西南西,1.7,0,82,1004.7
17,旭川,24.1,0,南南西,3.9,0,77,1005.1
18,旭川,24.2,0,南南西,6.4,0,74,1004.9
19,旭川,23.8,0,南南西,3.9,0,76,1005.8
20,旭川,22.9,0,西,0.9,0,83,1006.9
21,旭川,22.1,0,北西,2,,87,1007.7
22,旭川,21.1,0,北東,0.8,,91,1008.1
23,旭川,21.1,0,北北西,0.8,,91,1008.4
24,旭川,20.7,0,西,0.8,,92,1008.9
