時刻,場所,気温,降水量,風向,風速,日照時間,湿度,気圧
1,広尾,17.7,0.5,北北西,3.9,,95,1005.8
2,広尾,16.2,2.5,北東,2.3,,98,1005.8
3,広尾,16.3,6.5,北西,2.3,,100,1005.8
4,広尾,15.7,1,北,2.7,0,100,1006.2
5,広尾,14.5,4,北,4,0,99,1007
6,広尾,13.7,4,北,4.1,0,99,1007.5
7,広尾,13.6,2.5,北北東,3.1,0,99,1008
8,広尾,13.4,2,北,2.4,0,99,1008
9,広尾,13.9,4.5,北,2.4,0,100,1007.8
10,広尾,14,2.5,北,3.7,0,98,1008.1
11,広尾,14,0.5,北北東,3.2,0,100,1007.9
12,広尾,13.9,0,北北東,2.9,0,100,1008.1
13,広尾,14,0.5,北北東,2.7,0,100,1008
14,広尾,13.9,0,北東,2.7,0,100,1008.2
15,広尾,14.1,0.5,北東,2.3,0,100,1009
16,広尾,15,1,北,2.4,0,100,1008.7
17,広尾,15,0,北東,1.4,0,100,1008.8
18,広尾,14.7,0,北東,1.6,0,100,1009
19,広尾,14.8,0,南南西,1,0,100,1009.3
20,広尾,14,0.5,南南東,0.9,0,100,1009.4
21,広尾,14.4,0,北西,1.2,,100,1009.4
22,広尾,13.8,0,北東,2,,100,1010
23,広尾,14.1,0,北,2.3,,100,1009.9
24,広尾,14.1,0,東南東,1,,100,1010.5
