時刻,場所,気温,降水量,風向,風速,日照時間
1,上川,14.4,0,北,0.3,
2,上川,14.7,0,南東,0.7,
3,上川,14.8,0,東,0.4,
4,上川,15,0,北西,1.2,0
5,上川,15.1,0,北北東,0.7,0
6,上川,15.7,0,西南西,1.2,0
7,上川,16.9,0,南東,0.7,0
8,上川,18.5,0,北,0.4,0
9,上川,19.9,0,東南東,1.1,0
10,上川,21.1,0,西,1.4,0
11,上川,22.9,0,西,1,0
12,上川,22.3,0,北北西,1.9,0.1
13,上川,22.5,0,西南西,1,0
14,上川,22,0,西南西,1,0
15,上川,20.7,1.5,東北東,0.5,0
16,上川,20.5,0,東,1.4,0
17,上川,20.6,0,北東,0.5,0
18,上川,20.7,0,北,1.3,0
19,上川,20.1,0,北東,1.4,0
20,上川,20.9,0,西北西,3.4,0
21,上川,21.2,0,西南西,2.2,
22,上川,20.6,0,西北西,1.6,
23,上川,20.6,0,西北西,2.4,
24,上川,19.2,0,西南西,0.6,
