時刻,場所,気温,降水量,風向,風速,日照時間,湿度,気圧
1,東京,25.7,0,南,8.4,,78,1008
2,東京,25.5,0,南,7.6,,80,1008
3,東京,25.5,0,南,7.5,,79,1008.3
4,東京,25.7,0,南,7.3,0,78,1008.6
5,東京,25.6,0,南,6,0,80,1009.5
6,東京,25.8,0,南,6.2,0.6,81,1010.3
7,東京,28,0,南,6.4,1,76,1010.2
8,東京,28.4,0,南南西,8.2,1,71,1010.5
9,東京,29.7,0,南,8.1,1,69,1010.6
10,東京,30.3,0,南,8.2,1,64,1010.8
11,東京,31.3,0,南,8.7,0.9,61,1010.8
12,東京,31.6,0,南南西,7.4,0.9,59,1010.9
13,東京,31.8,0,南,7.3,0.9,58,1010.7
14,東京,32.2,0,南南東,7.8,1,58,1010.2
15,東京,31.7,0,南,5.8,1,61,1010.4
16,東京,30.6,0,南南西,8.2,0.9,60,1011
17,東京,30.2,0,南南西,7.8,1,62,1011.1
18,東京,28.6,0,南,6.4,0.8,72,1011.9
19,東京,27.8,0,南南西,5.4,0.3,75,1012.1
20,東京,27.1,0,南,4,0,80,1012.9
21,東京,26.7,0,南,5.1,,83,1014.1
22,東京,26.3,0,南,5,,86,1014.5
23,東京,25.9,0,南,5.3,,89,1014.6
24,東京,25.9,0,南,6.4,,89,1014.4
