時刻,場所,気温,降水量,風向,風速,日照時間
1,練馬,26,0,南南西,2.2,
2,練馬,25.9,0,南,2,
3,練馬,25.7,0,南,1.8,
4,練馬,25.8,0,南,1.6,0
5,練馬,25.6,0,南南東,1.4,0
6,練馬,26.9,0,南,1.8,0.7
7,練馬,28.3,0,南南西,1.9,1
8,練馬,30,0,南南西,2.9,1
9,練馬,30.6,0,南南西,3.1,1
10,練馬,31.4,0,南,2.9,1
11,練馬,32.2,0,南,3,1
12,練馬,32.9,0,南,3.4,1
13,練馬,33.1,0,南,3.5,1
14,練馬,33.5,0,南南西,3.3,1
15,練馬,33.1,0,南,3.4,1
16,練馬,33.2,0,南,3.2,1
17,練馬,31.8,0,南,2.3,1
18,練馬,30.1,0,南,2.4,0.8
19,練馬,28.5,0,南南西,2.1,0.3
20,練馬,27.7,0,南,1.9,0
21,練馬,27.1,0,南,1.6,
22,練馬,26.7,0,南南西,2.1,
23,練馬,26.3,0,南,2.1,
24,練馬,26,0,南,1.6,
