時刻,場所,気温,降水量,風向,風速,日照時間
1,青梅,23.8,0,北北西,0.8,
2,青梅,22.6,0,西南西,0.5,
3,青梅,24.1,0,南東,1.1,
4,青梅,24.6,0,南南西,1.8,0
5,青梅,23.3,0,西南西,1.1,0
6,青梅,26.1,0,南,2.9,0.7
7,青梅,27.7,0,南南東,3.4,1
8,青梅,29.6,0,南南東,3.8,1
9,青梅,30.7,0,南,4,1
10,青梅,31.3,0,南,4.2,1
11,青梅,32.9,0,南南西,5,1
12,青梅,33.4,0,南,5.1,1
13,青梅,33.8,0,南,4.5,1
14,青梅,33.6,0,南,5.2,1
15,青梅,33.3,0,南,5,1
16,青梅,32.9,0,南,5.2,1
17,青梅,32.2,0,南,4.1,1
18,青梅,30.8,0,南,3.4,0.5
19,青梅,29.7,0,南,2.8,0
20,青梅,27.6,0,南,2.8,0
21,青梅,27.1,0,南南東,2.6,
22,青梅,26.3,0,南,2.7,
23,青梅,25.7,0,南,3.1,
24,青梅,25.5,0,南,2.5,
